Article,Base Price (HTVA),Base Price (TVA),ArticleURL,Checked on
DeWALT DT4535 Coffret de mèches à bois 3 pointes dans cassette,7.43,8.99,https://www.fixami.be/fr/dewalt-dt4535-coffret-de-meches-a-bois-3-pointes-dans-cassette.html,2025-10-15 23:39:34
DeWALT DT6952 Coffret de forets pour la pierre,7.18,8.69,https://www.fixami.be/fr/dewalt-dt6952-coffret-de-forets-pour-la-pierre.html,2025-10-15 23:39:39
Milwaukee 44700330 - Pistons pour les ensembles de chariot,2.64,3.19,https://www.fixami.be/fr/milwaukee-44700330-pistons-pour-les-ensembles-de-chariot.html,2025-10-15 23:39:43
"Milwaukee 48404220 Lame de scie circulaire - 165 x 15,87 x 48T",61.38,74.27,https://www.fixami.be/fr/milwaukee-48404220-lame-de-scie-circulaire-165-x-15-87-x-48t.html,2025-10-15 23:39:51
Milwaukee 4932346512 Lame pour scies radiales - 54 Dents,55.78,67.49,https://www.fixami.be/fr/milwaukee-4932346512-lame-pour-scies-radiales-54-dents.html,2025-10-15 23:39:56
Milwaukee DHTi 125 Disque diamant - Ø Disque 125mm,17.51,21.19,https://www.fixami.be/fr/milwaukee-dhti-125-disque-diamant-oe-disque-125mm.html,2025-10-15 23:40:00
Milwaukee DU 125 Disque diamant - Ø Disque 125mm,11.64,14.09,https://www.fixami.be/fr/milwaukee-du-125-disque-diamant-oe-disque-125mm.html,2025-10-15 23:40:06
Milwaukee DU 230 Disque diamant - Ø Disque 230mm,30.4,36.79,https://www.fixami.be/fr/milwaukee-du-230-disque-diamant-oe-disque-230mm.html,2025-10-15 23:40:10
Milwaukee DUH 125 Disque diamant - Ø Disque 125mm,26.05,31.52,https://www.fixami.be/fr/milwaukee-duh-125-disque-diamant-oe-disque-125mm.html,2025-10-15 23:40:15
Milwaukee DUT 125 Disque diamant - Ø Disque 125mm,16.36,19.8,https://www.fixami.be/fr/milwaukee-dut-125-disque-diamant-oe-disque-125mm.html,2025-10-15 23:40:20
Milwaukee 4932352219 Foret HSS-G - 2 x 12 x 38 mm - (10 pièces),26.44,31.99,https://www.fixami.be/fr/milwaukee-4932352219-foret-hss-g-2-x-12-x-38-mm-10-pieces.html,2025-10-15 23:40:24
Milwaukee 4932363248 Foret HSS-G - CO 1 x 12 x 34 mm - (2 pièces),1.98,2.39,https://www.fixami.be/fr/milwaukee-4932363248-foret-hss-g-co-1-x-12-x-34-mm-2-pieces.html,2025-10-15 23:40:28
Milwaukee 4932363249 Foret HSS-G - CO 1 x 12 x 34 mm - (2 pièces),1.98,2.39,https://www.fixami.be/fr/milwaukee-4932363249-foret-hss-g-co-1-x-12-x-34-mm-2-pieces.html,2025-10-15 23:40:33
Milwaukee 4932363251 Foret HSS-G - CO 1 x 12 x 34 mm - (2 pièces),1.98,2.39,https://www.fixami.be/fr/milwaukee-4932363251-foret-hss-g-co-1-x-12-x-34-mm-2-pieces.html,2025-10-15 23:40:37
Milwaukee 4932363269 Foret HSS-G - CO 1 x 12 x 34 mm - (2 pièces),4.62,5.59,https://www.fixami.be/fr/milwaukee-4932363269-foret-hss-g-co-1-x-12-x-34-mm-2-pieces.html,2025-10-15 23:40:42
DeWALT DT9701 Extrême-2,29.5,35.69,https://www.fixami.be/fr/dewalt-dt9701-extreme-2.html,2025-10-15 23:40:47
DeWALT DE6292 Raccord rail de guidage,27.43,33.19,https://www.fixami.be/fr/dewalt-de6292-raccord-rail-de-guidage.html,2025-10-15 23:40:51
DeWALT DWS5021 Rail de guidage - 1000 mm,61.4,74.29,https://www.fixami.be/fr/dewalt-dws5021-rail-de-guidage-1000-mm.html,2025-10-15 23:40:56
DeWALT DWS5022 Rail de guidage - 1500 mm,64.62,78.19,https://www.fixami.be/fr/dewalt-dws5022-rail-de-guidage-1500-mm.html,2025-10-15 23:41:01
DeWALT DWS5025 Sac pour rails de guidage,43.88,53.09,https://www.fixami.be/fr/dewalt-dws5025-sac-pour-rails-de-guidage.html,2025-10-15 23:41:05
DeWALT DWS5026 Systèmes d’attache adaptés pour guides rails (2pce),59.25,71.69,https://www.fixami.be/fr/dewalt-dws5026-systemes-d-attache-adaptes-pour-guides-rails-2pce.html,2025-10-15 23:41:09
Makita 831279-0 Sac à outils Bleu,41.07,49.69,https://www.fixami.be/fr/makita-831279-0-sac-a-outils-bleu.html,2025-10-15 23:41:14
DeWALT DT2290 - Set de lames scie sauteuse (10pcs) - bois,10.07,12.19,https://www.fixami.be/fr/dewalt-dt2290-set-de-lames-scie-sauteuse-10pcs-bois.html,2025-10-15 23:41:19
"Makita BL1830B - Batterie Li-Ion 18V - 3,0 Ah",38.78,46.92,https://www.fixami.be/fr/makita-bl1830b-batterie-li-ion-18v-3-0-ah.html,2025-10-15 23:41:23
Makita DHR202Z - Perforateur burineur sans-fil - 18 V Li-ion - SDS-Plus - Machine seule - 20 mm - 2 J,122.31,148.0,https://www.fixami.be/fr/makita-dhr202z-perforateur-burineur-sans-fil-18-v-li-ion-sds-plus-machine-seule-20-mm-2-j.html,2025-10-15 23:41:28
Makita DHR241Z - Perforateur burineur sans-fil - 18V Li-ion - SDS-plus - Machine seule - 2 J,118.17,142.99,https://www.fixami.be/fr/makita-dhr241z-perforateur-burineur-sans-fil-18v-li-ion-sds-plus-machine-seule-2-j.html,2025-10-15 23:41:35
Makita DDA351Z Perceuse visseuse d'angle sans-fil - 18V Li-ion - Machine seule,130.57,157.99,https://www.fixami.be/fr/makita-dda351z-perceuse-visseuse-d-angle-sans-fil-18v-li-ion-machine-seule.html,2025-10-15 23:41:41
Makita DST221Z Agrafeuse sans fil 18 V Li-Ion - 10-22 mm,183.21,221.69,https://www.fixami.be/fr/makita-dst221z-agrafeuse-sans-fil-18-v-li-ion-10-22-mm.html,2025-10-15 23:41:46
"Makita GN900SE cloueur à gaz sans-fil 7,2V Li-ion (2x Batteries 1,0 Ah) dans coffret - 50-90 mm",446.27,539.99,https://www.fixami.be/fr/makita-gn900se-cloueur-a-gaz-sans-fil-7-2v-li-ion-2x-batteries-1-0-ah-dans-coffret-50-90-mm.html,2025-10-15 23:41:51
Bahco EX-22-XT7-C - Lames de scie Superior™ pour matériaux grossiers/épais. Utilisées avec les poignées EX ERGO™,33.52,40.56,https://www.fixami.be/fr/bahco-ex-22-xt7-c-lames-de-scie-superior-pour-materiaux-grossiers-epais.-utilisees-avec-les-poignees-ex-ergo.html,2025-10-15 23:41:56
Bahco EX-RL - Poignée BHS ERGO™ pour lame de scie EX Large,25.88,31.32,https://www.fixami.be/fr/bahco-ex-rl-poignee-bhs-ergo-pour-lame-de-scie-ex-large.html,2025-10-15 23:42:00
Stanley 0-33-811 Armature de lame de ruban FATMAX - 10m x 32mm,31.68,38.33,https://www.fixami.be/fr/stanley-0-33-811-armature-de-lame-de-ruban-fatmax-10m-x-32mm.html,2025-10-15 23:42:05
Stanley 0-33-720 Lame de ruban FATMAX blindée - 5m x 32mm,25.31,30.62,https://www.fixami.be/fr/stanley-0-33-720-lame-de-ruban-fatmax-blindee-5m-x-32mm.html,2025-10-15 23:42:10
Makita DFR550Z Visseuse automatique sans-fil 18V Li-ion (machine seule) - 25-55 mm,177.68,214.99,https://www.fixami.be/fr/makita-dfr550z-visseuse-automatique-sans-fil-18v-li-ion-machine-seule-25-55-mm.html,2025-10-15 23:42:15
Makita DGA452Z Meuleuse d'angle sans-fil - 18V Li-ion - 115 mm - Machine seule,79.78,96.53,https://www.fixami.be/fr/makita-dga452z-meuleuse-d-angle-sans-fil-18v-li-ion-115-mm-machine-seule.html,2025-10-15 23:42:20
"Makita DTW450Z - Boulonneuse à chocs sans-fil  18V Li-ion - 440 Nm - 1/2"" - Machine seule",197.84,239.39,https://www.fixami.be/fr/makita-dtw450z-boulonneuse-a-chocs-sans-fil-18v-li-ion-440-nm-1-2-machine-seule.html,2025-10-15 23:42:24
Makita DJV180ZScie sauteuse sans-fil - 18V Li-ion - Machine seule,117.35,141.99,https://www.fixami.be/fr/makita-djv180zscie-sauteuse-sans-fil-18v-li-ion-machine-seule.html,2025-10-15 23:42:30
Makita DSS610Z Scie circulaire sans-fil - 18V Li-ion - 165 mm Machine seule,125.61,151.99,https://www.fixami.be/fr/makita-dss610z-scie-circulaire-sans-fil-18v-li-ion-165-mm-machine-seule.html,2025-10-15 23:42:35
